symbol,declining_operating_cash_flow,increased_capital_expenditures,increasing_debt_repayment,rising_free_cash_flow,decreasing_capital_expenditures,positive_net_change_in_cash,red_flag_count,green_flag_count,cf_final_count
HD,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
HES,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
HIG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
HII,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
HLT,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
HOLX,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
HON,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
HPE,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,3,1,-2
HPQ,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
HRL,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
HSIC,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
HST,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
HSY,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
HUBB,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
HUM,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
HWM,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
IBM,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
ICE,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
IDXX,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
IEX,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
IFF,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
INCY,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
INTC,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
INTU,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
INVH,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
IP,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
IPG,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
IQV,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
IR,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
IRM,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
ISRG,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
IT,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
ITW,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
IVZ,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
JBHT,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
JBL,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",3,2,-1
K,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
KEYS,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
KLAC,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
KMX,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
KO,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
KR,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
L,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
LDOS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
LEN,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
LH,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
LHX,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
LIN,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
LKQ,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
LLY,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
LMT,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
LNT,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
LOW,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
LRCX,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
LULU,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
LUV,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
LVS,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
LW,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
LYB,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
LYV,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
MA,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MAA,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
MAR,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
MAS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
MCD,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
MCHP,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
MCK,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
MCO,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MDLZ,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
MDT,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
MET,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
META,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MGM,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
MHK,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
MKC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
MKTX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
MLM,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
MMC,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MMM,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MNST,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
MO,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
MOH,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MOS,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
MPC,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
MPWR,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
MRK,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
MRNA,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
MRO,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
MS,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
MSCI,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
MSFT,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
MSI,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
MTB,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
MTCH,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
MTD,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
MU,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
NCLH,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
NDAQ,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
NDSN,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NEE,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
NEM,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
NFLX,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NI,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
NKE,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NOC,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
NOW,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
NRG,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
NSC,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
NTAP,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NTRS,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
NUE,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
NVDA,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
NVR,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
NWS,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NWSA,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
NXPI,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
O,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
ODFL,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
OKE,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
OMC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
ON,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
ORCL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
ORLY,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
OTIS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
OXY,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
PANW,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
PARA,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
PAYC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
PAYX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
PCAR,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
PCG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
PEG,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
PEP,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
PFE,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
PFG,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
PG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
PGR,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
PH,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
PHM,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
PKG,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
PLD,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
PLTR,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
PM,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
PNC,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
PNR,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
PNW,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
PODD,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
POOL,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
PPG,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
PPL,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
PRU,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,1,1,0
PSA,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
PSX,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
PTC,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
PWR,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
PYPL,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
QCOM,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
QRVO,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
RCL,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
REG,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
REGN,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
RF,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
RJF,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
RL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
RMD,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
ROK,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
ROL,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
ROP,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
ROST,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
RSG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
RTX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
RVTY,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
SBAC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
SBUX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
SCHW,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
SHW,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
SJM,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
SLB,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
SMCI,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
SNA,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
SNPS,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
SO,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
SOLV,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
SPG,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
SPGI,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
SRE,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
STE,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
STLD,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
STT,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
STX,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
STZ,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
SW,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
SWK,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
SWKS,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
SYF,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
SYK,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
SYY,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
T,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
TAP,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
TDG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
TDY,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
TECH,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
TEL,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
TER,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
TFC,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",3,2,-1
TFX,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
TGT,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
TJX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
TMO,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,3,1,-2
TMUS,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
TPR,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
TRGP,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
TRMB,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
TROW,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
TRV,NULL,NULL,NULL,"Rising Free Cash Flow",NULL,NULL,0,1,1
TSCO,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
TSLA,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
TSN,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
TT,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
TTWO,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",3,2,-1
TXN,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
TXT,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
