symbol,declining_gross_profit_margin,rising_sga_expenses,increasing_debt_burden,increasing_ebitda_margin,rising_operating_income,revenue_growth,red_flag_count,green_flag_count,pnl_final_count
HOLX,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
HON,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
HPE,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
HPQ,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
HRL,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
HSIC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
HST,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
HSY,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
HUBB,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
HUM,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
HWM,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
IBM,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
ICE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
IDXX,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
IEX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
IFF,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
INCY,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
INTC,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
INTU,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
INVH,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
IP,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
IPG,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,"Rising Operating Income",NULL,2,1,-1
IQV,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
IR,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
IRM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
ISRG,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
IT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
ITW,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
IVZ,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
JBHT,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
JBL,NULL,NULL,NULL,NULL,"Rising Operating Income",NULL,0,1,1
K,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,1,1,0
KEYS,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
KLAC,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,1,1,0
KMX,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
KO,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
KR,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
L,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
LDOS,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",1,2,1
LEN,NULL,NULL,NULL,NULL,NULL,"Revenue Growth",0,1,1
LH,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
LHX,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
LIN,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
LKQ,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
LLY,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
LMT,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
LNT,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
LOW,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
LRCX,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,NULL,1,0,-1
LULU,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
LUV,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
LVS,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
LW,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
LYB,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
LYV,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
MA,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
MAA,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
MAR,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
MAS,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
MCD,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MCHP,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin",NULL,NULL,1,1,0
MCK,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
MCO,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MDLZ,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MDT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
MET,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
META,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
MGM,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MHK,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
MKC,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MKTX,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
MLM,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MMC,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MMM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
MNST,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MO,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
MOH,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
MOS,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
MPC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
MPWR,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
MRK,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
MRNA,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
MRO,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
MS,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MSCI,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MSFT,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MSI,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MTB,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
MTCH,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
MTD,NULL,NULL,"Increasing Debt Burden",NULL,"Rising Operating Income",NULL,1,1,0
MU,NULL,"Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",1,2,1
NCLH,NULL,NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",0,3,3
NDAQ,NULL,NULL,NULL,NULL,"Rising Operating Income",NULL,0,1,1
NDSN,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",3,2,-1
NEE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
NEM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,3,1,-2
NFLX,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
NI,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
NKE,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
NOC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
NOW,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
NRG,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
NSC,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
NTAP,NULL,"Rising SG&A Expenses",NULL,NULL,"Rising Operating Income",NULL,1,1,0
NTRS,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
NUE,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
NVDA,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
NVR,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
NWS,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
NWSA,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
NXPI,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
O,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
ODFL,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
OKE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
OMC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
ON,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income",NULL,2,1,-1
ORCL,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ORLY,NULL,NULL,NULL,"Increasing EBITDA Margin",NULL,NULL,0,1,1
OTIS,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
OXY,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
PANW,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
PARA,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
PAYC,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
PAYX,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
PCAR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
PCG,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
PEG,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
PEP,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
PFE,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
PFG,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
PG,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
PGR,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
PH,NULL,NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",0,3,3
PHM,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
PKG,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
PLD,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
PLTR,NULL,NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",0,3,3
PM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
PNC,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
PNR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
PNW,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
PODD,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
POOL,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
PPG,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
PPL,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
PRU,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
PSA,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
PSX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
PTC,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
PWR,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
PYPL,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
QCOM,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
QRVO,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",2,2,0
RCL,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
REG,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
REGN,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
RF,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
RJF,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
RL,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
RMD,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
ROK,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ROL,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ROP,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ROST,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
RSG,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
RTX,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
RVTY,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
SBAC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
SBUX,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
SCHW,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
SHW,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
SJM,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
SLB,NULL,NULL,"Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",1,2,1
SMCI,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
SNA,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
SNPS,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
SO,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
SOLV,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
SPG,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
SPGI,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
SRE,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
STE,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
STLD,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
STT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
STX,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
STZ,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
SW,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,1,1,0
SWK,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,1,1,0
SWKS,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
SYF,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
SYK,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
SYY,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
T,NULL,NULL,"Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",1,2,1
TAP,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
TDG,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
TDY,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
TECH,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
TEL,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
TER,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
TFC,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",2,2,0
TFX,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
TGT,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
TJX,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
TMO,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
TMUS,NULL,NULL,NULL,NULL,"Rising Operating Income",NULL,0,1,1
TPR,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
TRGP,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
TRMB,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
TROW,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
TRV,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
TSCO,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
TSLA,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
TSN,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
TT,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
TTWO,NULL,NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income",NULL,0,2,2
TXN,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
TXT,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
TYL,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
UAL,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
UBER,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
UDR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
UHS,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
ULTA,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
UNH,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
