symbol,increasing_current_ratio,green_flag_positive_retained_earnings,increasing_working_capital,red_flag_high_accounts_receivable,increasing_debt_to_equity,decreasing_total_assets,red_flag_count,green_flag_count,bs_final_count
IT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
ITW,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,1,-1
IVZ,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
JBHT,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
JBL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,"Decreasing Total Assets",2,3,1
K,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
KEYS,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
KLAC,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
KMX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
KO,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
KR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
L,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
LDOS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
LEN,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
LH,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
LHX,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
LIN,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
LKQ,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
LLY,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
LMT,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable","Increasing Debt to Equity Ratio","Decreasing Total Assets",3,1,-2
LNT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
LOW,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,2,1
LRCX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
LULU,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
LUV,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
LVS,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
LW,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
LYB,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
LYV,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
MA,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
MAA,NULL,NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MAR,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MAS,"Increasing Current Ratio",NULL,"Increasing Working Capital","High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,2,0
MCD,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
MCHP,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
MCK,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,1,-1
MCO,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
MDLZ,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,NULL,0,2,2
MDT,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
MET,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
META,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
MGM,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
MHK,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
MKC,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
MKTX,NULL,"Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,2,1
MLM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
MMC,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
MMM,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MNST,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
MO,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
MOH,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
MOS,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
MPC,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
MPWR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
MRK,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
MRNA,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
MRO,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
MS,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MSCI,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
MSFT,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MSI,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable",NULL,NULL,1,1,0
MTB,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
MTCH,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
MTD,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
MU,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
NCLH,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
NDAQ,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
NDSN,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
NEE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
NEM,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
NFLX,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
NI,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
NKE,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
NOC,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
NOW,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
NRG,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
NSC,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
NTAP,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
NTRS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
NUE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
NVDA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
NVR,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
NWS,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,2,1
NWSA,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,2,1
NXPI,NULL,NULL,"Increasing Working Capital",NULL,NULL,NULL,0,1,1
O,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
ODFL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
OKE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
OMC,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable",NULL,NULL,1,1,0
ON,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
ORCL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
ORLY,"Increasing Current Ratio",NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
OTIS,"Increasing Current Ratio",NULL,"Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,2,1
OXY,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
PANW,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PARA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
PAYC,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
PAYX,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
PCAR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PCG,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
PEG,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PEP,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
PFE,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
PFG,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
PG,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PGR,"Increasing Current Ratio","Positive Retained Earnings",NULL,"High Accounts Receivable",NULL,NULL,1,2,1
PH,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
PHM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PKG,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
PLD,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
PLTR,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
PM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
PNC,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
PNR,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
PNW,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
PODD,NULL,NULL,"Increasing Working Capital",NULL,NULL,NULL,0,1,1
POOL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
PPG,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
PPL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
PRU,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,NULL,0,2,2
PSA,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
PSX,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
PTC,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
PWR,NULL,"Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,2,1
PYPL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable",NULL,NULL,1,3,2
QCOM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
QRVO,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,0,-2
RCL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
REG,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
REGN,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
RF,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
RJF,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
RL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
RMD,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
ROK,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ROL,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
ROP,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
ROST,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
RSG,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
RTX,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
RVTY,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
SBAC,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,0,-2
SBUX,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
SCHW,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,2,1
SHW,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
SJM,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
SLB,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
SMCI,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,3,1
SNA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
SNPS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
SO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
SOLV,NULL,NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
SPG,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
SPGI,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
SRE,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
STE,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
STLD,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
STT,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
STX,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
STZ,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
SW,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,NULL,0,2,2
SWK,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
SWKS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
SYF,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,3,1
SYK,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
SYY,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,1,-1
T,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
TAP,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TDG,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
TDY,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TECH,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TEL,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
TER,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,2,1
TFC,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
TFX,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TGT,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TJX,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
TMO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
TMUS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
TPR,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
TRGP,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
TRMB,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
TROW,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
TRV,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
TSCO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
TSLA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
TSN,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
TT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
TTWO,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,2,0
TXN,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
TXT,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
TYL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,"Decreasing Total Assets",1,1,0
UAL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
UBER,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
UDR,"Increasing Current Ratio",NULL,NULL,NULL,NULL,NULL,0,1,1
UHS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
ULTA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
UNH,"Increasing Current Ratio","Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
UNP,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
UPS,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
URI,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
USB,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
V,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
VICI,NULL,"Positive Retained Earnings","Increasing Working Capital","High Accounts Receivable","Increasing Debt to Equity Ratio",NULL,2,2,0
VLO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
VLTO,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
VMC,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
VRSK,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
VRSN,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
VRTX,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
VST,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
VTR,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,2,1
VTRS,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,2,1
VZ,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
WAB,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
WAT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
WBA,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
WBD,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,0,-2
WDC,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
WEC,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
WELL,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
WFC,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
WM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
WMB,NULL,NULL,NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,0,-1
WMT,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,3,3
WRB,NULL,"Positive Retained Earnings",NULL,"High Accounts Receivable",NULL,"Decreasing Total Assets",2,1,-1
WST,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
WTW,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,1,-1
WY,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
WYNN,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
XEL,NULL,"Positive Retained Earnings",NULL,NULL,NULL,NULL,0,1,1
XOM,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio",NULL,1,3,2
XYL,NULL,"Positive Retained Earnings","Increasing Working Capital",NULL,NULL,NULL,0,2,2
YUM,"Increasing Current Ratio",NULL,"Increasing Working Capital",NULL,NULL,NULL,0,2,2
ZBH,NULL,"Positive Retained Earnings",NULL,NULL,"Increasing Debt to Equity Ratio",NULL,1,1,0
ZBRA,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,"Increasing Debt to Equity Ratio","Decreasing Total Assets",2,3,1
ZTS,"Increasing Current Ratio","Positive Retained Earnings","Increasing Working Capital",NULL,NULL,"Decreasing Total Assets",1,3,2
